地域名,支店名,支店詳細URL,住所,電話番号
北海道・東北エリア,札幌支店,https://www.okasan.co.jp/site/office/hokkaido_tohoku/sapporo.html,"〒060-0002
北海道 札幌市 中央区北二条西3-1-8
「駅前通りグランドホテル前」",011-251-3455
北海道・東北エリア,仙台支店,https://www.okasan.co.jp/site/office/hokkaido_tohoku/sendai.html,"〒980-0811
宮城県 仙台市 青葉区一番町3-6-1 一番町平和ビル8階",022-265-1718
関東エリア,本店,https://www.okasan.co.jp/site/office/kanto/headoffice.html,"〒103-0022
東京都 中央区 日本橋 室町 2-2-1 室町東三井ビルディング",03-3272-2211（大代表）
関東エリア,室町インフォメーション,https://www.okasan.co.jp/site/office/kanto/muromachi_info.html,"〒103-0022
東京都 中央区 日本橋 室町 2-2-1 （COREDO室町1）1階",-
関東エリア,兜町オフィス,https://www.okasan.co.jp/site/office/kanto/kabutochooffice.html,"〒103-0026
東京都中央区日本橋兜町1-4 日本橋兜町M-SQUARE",03-3272-2211（大代表）
関東エリア,プライベートバンキング部,https://www.okasan.co.jp/site/office/kanto/headoffice_wm.html,"〒103-0022
東京都 中央区 日本橋 室町 2-2-1 室町東三井ビルディング 10階（コレド室町1）",03-3275-8570
関東エリア,本店営業第一部,https://www.okasan.co.jp/site/office/kanto/headoffice_sales1.html,"〒103-0022
東京都 中央区 日本橋 室町 1-5-5
室町ちばぎん三井ビルディング 11階（COREDO室町3）",03-4226-3331
関東エリア,本店営業第二部,https://www.okasan.co.jp/site/office/kanto/headoffice_sales2.html,"〒103-0022
東京都 中央区 日本橋 室町 1-5-5
室町ちばぎん三井ビルディング 11階（COREDO室町3）",03-4226-3350
関東エリア,本店営業第三部,https://www.okasan.co.jp/site/office/kanto/headoffice_sales3.html,"〒103-0022
東京都 中央区 日本橋 室町 1-5-5
室町ちばぎん三井ビルディング 11階（COREDO室町3）",03-4226-3360
関東エリア,白山サテライトプレイス,https://www.okasan.co.jp/site/office/kanto/hakusan.html,"〒112-0001
東京都文京区白山2-29-4 泉白山ビル9階
「白山通り」",03-4226-3335
関東エリア,白金高輪サテライトプレイス,https://www.okasan.co.jp/site/office/kanto/shirokanetakanawa.html,"〒106-0047
東京都港区南麻布3-21-17 B City Tower AZABU TOKYO 8階
「明治通り」",03-4226-3355
関東エリア,浅草サテライトプレイス,https://www.okasan.co.jp/site/office/kanto/asakusa.html,"〒111-0034
東京都 台東区雷門 2-4-8
「雷門前並木通り」",03-4226-3365
関東エリア,大森サテライトプレイス,https://www.okasan.co.jp/site/office/kanto/omori.html,"〒140-0013
東京都 品川区南大井 6-28-11
「大森駅東口バスロータリー前」",03-3763-3171
関東エリア,東京中央店営業第一部,https://www.okasan.co.jp/site/office/kanto/tokyochuo_sales1.html,"〒163-1502
東京都 新宿区西新宿 1-6-1
「新宿エルタワー 7階」",03-3342-2511
関東エリア,東京中央店営業第二部,https://www.okasan.co.jp/site/office/kanto/tokyochuo_sales2.html,"〒163-1502
東京都 新宿区西新宿 1-6-1
「新宿エルタワー 7階」",03-6387-7150
関東エリア,千歳烏山サテライトプレイス,https://www.okasan.co.jp/site/office/kanto/chitosekarasuyama.html,"〒157-0062
東京都世田谷区南烏山5-15-10 SKCビル4階
「烏山駅前通り商店街」",03-3342-2577
関東エリア,三鷹サテライトプレイス,https://www.okasan.co.jp/site/office/kanto/mitaka.html,"〒180-0006
東京都 武蔵野市中町 1-20-8 大樹生命三鷹ビル5階
「大樹生命三鷹ビル」",03-3342-2529
関東エリア,三軒茶屋サテライトプレイス,https://www.okasan.co.jp/site/office/kanto/sangenjaya.html,"〒154-0023
東京都 世田谷区若林 1-18-10 京阪世田谷ビル2階
「環七通り沿い」",03-3342-2407
関東エリア,碑文谷サテライトプレイス,https://www.okasan.co.jp/site/office/kanto/himonya.html,"〒152-0003
東京都目黒区碑文谷3-1-1
「サレジオ教会前」",03-4526-1177
関東エリア,自由が丘サテライトプレイス,https://www.okasan.co.jp/site/office/kanto/jiyuugaoka.html,"〒152-0035
東京都 目黒区自由が丘 1-3-19 自由が丘ビル1階
「自由通り」",03-6387-7155
関東エリア,池袋支店,https://www.okasan.co.jp/site/office/kanto/ikebukuro.html,"〒170-6048
東京都豊島区東池袋三丁目一番一号
サンシャイン60ビル 48階
「サンシャイン60ビル」",03-4533-8040
関東エリア,成増サテライトプレイス,https://www.okasan.co.jp/site/office/kanto/narimasu.html,"〒175-0094
東京都 板橋区成増一丁目30番13号 成増トーセイビル7F
「成増トーセイビル」",03-4533-8039
関東エリア,八王子支店,https://www.okasan.co.jp/site/office/kanto/hachioji.html,"〒192-0046
東京都 八王子市明神町 4-7-15
「京王八王子駅前」",042-645-2211
関東エリア,東京法人ユニット,https://www.okasan.co.jp/site/office/kanto/tokyo_unit.html,"〒103-0022
東京都 中央区 日本橋 室町 2-2-1 室町東三井ビルディング 10階（コレド室町1）",03-3275-3824
関東エリア,勝田支店,https://www.okasan.co.jp/site/office/kanto/katsuta.html,"〒312-0045
茨城県 ひたちなか市勝田中央 12-15
「ひたちなか商工会議所斜め向かい」",029-275-3111
関東エリア,柏支店,https://www.okasan.co.jp/site/office/kanto/kashiwa.html,"〒277-0005
千葉県 柏市柏 2-6-8",04-7163-4311
関東エリア,八千代支店,https://www.okasan.co.jp/site/office/kanto/yachiyo.html,"〒276-0032
千葉県 八千代市八千代台東 1-1-10
「ユアエルム八千代台店 レストラン街4階」",047-427-2400
関東エリア,千葉支店,https://www.okasan.co.jp/site/office/kanto/chiba.html,"〒260-0015
千葉県 千葉市中央区 富士見1-15-9
「富士見東電前交差点かど朝日生命ビル」",043-222-8131
関東エリア,大宮支店,https://www.okasan.co.jp/site/office/kanto/omiya.html,"〒330-0854
埼玉県 さいたま市大宮区 桜木町1-7-5
「大宮駅西口ソニックシティビル3階」",048-644-5841
関東エリア,熊谷サテライトプレイス,https://www.okasan.co.jp/site/office/kanto/kumagaya.html,"〒360-0037
埼玉県 熊谷市筑波 2-48-1 熊谷大栄ビル 6階
「熊谷大栄ビル」",048-644-8933
関東エリア,横浜支店,https://www.okasan.co.jp/site/office/kanto/yokohama.html,"〒231-0015
神奈川県 横浜市中区 尾上町2-27
「大洋建設関内ビル」",045-651-1251
中部・東海・北陸エリア,沼津支店,https://www.okasan.co.jp/site/office/chubu/numazu.html,"〒410-0801
静岡県 沼津市 大手町2-4-1
「NTT 沼津前」",055-962-1313
中部・東海・北陸エリア,静岡支店,https://www.okasan.co.jp/site/office/chubu/shizuoka.html,"〒420-0857
静岡県 静岡市葵区御幸町 4-1
「江川町通り、デンビル横」",054-251-1331
中部・東海・北陸エリア,浜松支店,https://www.okasan.co.jp/site/office/chubu/hamamatsu.html,"〒430-0944
静岡県 浜松市中央区田町 324-3
「出雲殿互助会田町ビル」",053-456-2161
中部・東海・北陸エリア,恵那支店,https://www.okasan.co.jp/site/office/chubu/ena.html,"〒509-7201
岐阜県 恵那市大井町 201-10
「ショッピングセンターバロー前」",0573-25-2111
中部・東海・北陸エリア,名古屋支店,https://www.okasan.co.jp/site/office/chubu/nagoya.html,"〒450-0002
愛知県 名古屋市中村区名駅 4-5-28
「桜通豊田ビル1階、2階」",052-582-3431
中部・東海・北陸エリア,金山支店,https://www.okasan.co.jp/site/office/chubu/kanayama.html,"〒460-0022
愛知県名古屋市中区金山 1-11-28 NTT金山ビル
「イオン金山店西隣り」",052-321-1551
中部・東海・北陸エリア,長久手支店,https://www.okasan.co.jp/site/office/chubu/nagakute.html,"〒480-1168
愛知県 長久手市坊の後1422",0561-57-2020
中部・東海・北陸エリア,刈谷支店,https://www.okasan.co.jp/site/office/chubu/kariya.html,"〒448-0858
愛知県 刈谷市若松町 2-101
「みなくる刈谷内１階」",0566-21-3232
中部・東海・北陸エリア,金沢支店,https://www.okasan.co.jp/site/office/chubu/kanazawa.html,"〒920-0919
石川県 金沢市 南町6-1 朝日生命金沢ビル 9階",076-262-8811
中部・東海・北陸エリア,四日市支店,https://www.okasan.co.jp/site/office/chubu/yokkaichi.html,"〒510-0086
三重県 四日市市諏訪栄町 20-11
「国道1号線沿い」",059-353-1131
中部・東海・北陸エリア,鈴鹿支店,https://www.okasan.co.jp/site/office/chubu/suzuka.html,"〒513-0809
三重県 鈴鹿市 西条4-87-2
「鈴鹿市文化会館北隣り」",059-382-1345
中部・東海・北陸エリア,津支店,https://www.okasan.co.jp/site/office/chubu/tsu.html,"〒514-0032
三重県 津市 中央5-20",059-226-1511
中部・東海・北陸エリア,伊賀上野支店,https://www.okasan.co.jp/site/office/chubu/igaueno.html,"〒518-0861
三重県 伊賀市上野東町 2920
「東町交差点角」",0595-21-5131
中部・東海・北陸エリア,名張支店,https://www.okasan.co.jp/site/office/chubu/nabari.html,"〒518-0775
三重県 名張市希央台5番町 11番地
「近鉄名張駅東口前」",0595-63-1511
中部・東海・北陸エリア,松阪支店,https://www.okasan.co.jp/site/office/chubu/matsuzaka.html,"〒515-0083
三重県 松阪市中町 6-8-1
「松阪駅前交番側」",0598-21-2552
中部・東海・北陸エリア,伊勢支店,https://www.okasan.co.jp/site/office/chubu/ise.html,"〒516-0074
三重県 伊勢市本町 11-1
「伊勢市駅前通り」",0596-28-1171
中部・東海・北陸エリア,志摩支店,https://www.okasan.co.jp/site/office/chubu/shima.html,"〒517-0501
三重県 志摩市阿児町 鵜方4042
「鵜方駅前通り」",0599-43-5511
中部・東海・北陸エリア,尾鷲支店,https://www.okasan.co.jp/site/office/chubu/owase.html,"〒519-3652
三重県 尾鷲市古戸町 12-11",0597-22-1515
関西エリア,京都支店,https://www.okasan.co.jp/site/office/kansai/kyoto.html,"〒600-8007
京都府 京都市下京区 四条通東洞院東入立売西町66
「京都大丸隣」",075-231-7111
関西エリア,宮津支店,https://www.okasan.co.jp/site/office/kansai/miyazu.html,"〒626-0041
京都府 宮津市 鶴賀2066-69
「京都丹後鉄道前」",0772-22-2166
関西エリア,梅田支店,https://www.okasan.co.jp/site/office/kansai/umeda.html,"〒530-0001
大阪府 大阪市北区 梅田1-12-17
「JRE梅田スクエアビルディング7階」",06-6345-2951
関西エリア,阿倍野支店,https://www.okasan.co.jp/site/office/kansai/abeno.html,"〒545-0052
大阪府 大阪市阿倍野区 阿倍野筋3-10-1-100
「あべのベルタ1階北側」",06-6631-9331
関西エリア,千里支店,https://www.okasan.co.jp/site/office/kansai/senri.html,"〒565-0862
大阪府 吹田市 津雲台1-2-D9
「南千里クリスタルホテル2階」",06-6834-3535
関西エリア,東大阪支店,https://www.okasan.co.jp/site/office/kansai/higashiosaka.html,"〒577-0056
大阪府東大阪市長堂1-11-22
「住友生命布施ビル」",06-7167-9311
関西エリア,堺支店,https://www.okasan.co.jp/site/office/kansai/sakai.html,"〒590-0048
大阪府 堺市堺区 一条通20-1
「銀泉堺東第二ビル」",072-233-5141
関西エリア,藤井寺支店,https://www.okasan.co.jp/site/office/kansai/fujiidera.html,"〒583-0027
大阪府 藤井寺市 岡2-10-30
「イオン藤井寺ショッピングセンター向い(南側のAPTビル内)」",072-953-5941
関西エリア,奈良支店,https://www.okasan.co.jp/site/office/kansai/nara.html,"〒630-8231
奈良県 奈良市 本子守町1-1
「やすらぎの道東側」",0742-22-4001
関西エリア,和歌山支店,https://www.okasan.co.jp/site/office/kansai/wakayama.html,"〒640-8157
和歌山県 和歌山市 八番丁11
「城北橋バス停前」",073-431-1431
関西エリア,神戸支店,https://www.okasan.co.jp/site/office/kansai/kobe.html,"〒650-0021
兵庫県 神戸市中央区 三宮町1-1-2 三宮セントラルビル3階
「三宮中央通り沿い」",078-392-5656
関西エリア,姫路支店,https://www.okasan.co.jp/site/office/kansai/himeji.html,"〒670-0911
兵庫県 姫路市 十二所前町45",079-222-5961
関西エリア,大阪店（関西法人ユニット）,https://www.okasan.co.jp/site/office/kansai/osaka.html,"〒541-0042
大阪府 大阪市中央区 今橋1-8-7
「大阪取引所南」",06-6202-1191（※法人営業専門店です。）
中国・四国エリア,岡山支店,https://www.okasan.co.jp/site/office/chugoku_shikoku/okayama.html,"〒700-0904
岡山県岡山市北区柳町1-1-27
「太陽生命岡山柳町ビル」",086-224-5111
中国・四国エリア,玉野支店,https://www.okasan.co.jp/site/office/chugoku_shikoku/tamano.html,"〒706-0002
岡山県 玉野市 築港2丁目4-12
「築港2丁目」",0863-31-1211
中国・四国エリア,広島支店,https://www.okasan.co.jp/site/office/chugoku_shikoku/hiroshima.html,"〒730-0051
広島県 広島市 中区大手町2-8-4
「袋町電停前」",082-241-9511
中国・四国エリア,宇部支店,https://www.okasan.co.jp/site/office/chugoku_shikoku/ube.html,"〒755-0043
山口県 宇部市 相生町9-7
「宇部中央バス停前」",0836-31-1171
中国・四国エリア,松山支店,https://www.okasan.co.jp/site/office/chugoku_shikoku/matsuyama.html,"〒790-0005
愛媛県 松山市 花園町1-3
「松山市駅前日生ビル」",089-932-2121
中国・四国エリア,宇和島支店,https://www.okasan.co.jp/site/office/chugoku_shikoku/uwajima.html,"〒798-0034
愛媛県 宇和島市 錦町3-20
「宇和島駅前」",0895-22-5711
九州エリア,福岡支店,https://www.okasan.co.jp/site/office/kyushu/fukuoka.html,"〒810-0001
福岡県 福岡市 中央区天神1-9-17
「福岡天神フコク生命ビル」",092-751-3434
九州エリア,熊本支店,https://www.okasan.co.jp/site/office/kyushu/kumamoto.html,"〒860-0803
熊本県 熊本市 中央区新市街11-18
「熊本第一生命ビルディング」",096-325-7111
九州エリア,菊陽町サテライトプレイス,https://www.okasan.co.jp/site/office/kyushu/kikuyomachi.html,"〒869-1108
熊本県菊池郡菊陽町光の森7-23-12
「ひかりのもり公園近く」",096-325-7114
